user_agent|version|os|hardware|popularity
Mozilla/5.0 (Windows NT 6.3; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0|Firefox 50.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 6.2; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0|Firefox 52.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 5.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0|Firefox 52.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 10.0; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0|Firefox 48.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 6.2; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0|Firefox 50.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 5.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0|Firefox 50.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 6.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0|Firefox 50.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 6.1; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0|Firefox 39.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 6.3; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0|Firefox 41.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 6.3; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0|Firefox 46.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 6.1; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0|Firefox 48.0|Windows|Computer|Very common
Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:15.0) Gecko/20100101 Firefox/15.0|Firefox 15.0|Linux|Computer|Very common
Mozilla/5.0 (Windows NT 6.3; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0|Firefox 44.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0|Firefox 57.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 6.3; WOW64; rv:54.0) Gecko/20100101 Firefox/54.0|Firefox 54.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0|Firefox 45.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0|Firefox 53.0|Windows|Computer|Very common
Mozilla/5.0 (X11; Linux x86_64; rv:10.0) Gecko/20150101 Firefox/47.0 (Chrome)|Firefox 47.0|Linux|Computer|Very common
Mozilla/5.0 (Windows NT 6.1; rv:45.0) Gecko/20100101 Firefox/45.0|Firefox 45.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 10.0; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|Firefox 47.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 5.1; WOW64; rv:54.0) Gecko/20100101 Firefox/54.0|Firefox 54.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 6.0; WOW64; rv:54.0) Gecko/20100101 Firefox/54.0|Firefox 54.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 6.1; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0|Firefox 53.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 6.3; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|Firefox 47.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0|Firefox 43.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 6.1; rv:52.0) Gecko/20100101 Firefox/52.0|Firefox 52.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0|Firefox 59.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:58.0) Gecko/20100101 Firefox/58.0|Firefox 58.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 10.0; WOW64; rv:59.0) Gecko/20100101 Firefox/59.0|Firefox 59.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 10.0; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0|Firefox 45.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 6.2; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0|Firefox 41.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 6.0; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0|Firefox 41.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0|Firefox 57.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 5.1; rv:52.0) Gecko/20100101 Firefox/52.0|Firefox 52.0|Windows|Computer|Very common
Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 6.1)|Internet Explorer 9.0|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko|Internet Explorer 11|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko|Internet Explorer 11|Windows|Computer|Very common
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)|Internet Explorer 9|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko|Internet Explorer 11|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 6.2; WOW64; Trident/7.0; rv:11.0) like Gecko|Internet Explorer 11|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko|Internet Explorer 11|Windows|Computer|Very common
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)|Internet Explorer 9|Windows|Computer|Very common
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)|Internet Explorer 9|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 6.1; Win64; x64; Trident/7.0; rv:11.0) like Gecko|Internet Explorer 11|Windows|Computer|Very common
Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)|Internet Explorer 10|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko|Internet Explorer 11|Windows|Computer|Very common
Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)|Internet Explorer 10|Windows|Computer|Very common
Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)|Internet Explorer 10|Windows|Computer|Very common
Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0)|Internet Explorer 8|Windows|Computer|Very common
Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)|Internet Explorer 8|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko|Internet Explorer 11|Windows|Computer|Very common
Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; Media Center PC 6.0; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET CLR 2.0.50727; .NET4.0C; .NET4.0E)|Internet Explorer 8|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 6.2; Win64; x64; Trident/7.0; rv:11.0) like Gecko|Internet Explorer 11|Windows|Computer|Very common
Mozilla/5.0 (Windows NT 6.2; Trident/7.0; rv:11.0) like Gecko|Internet Explorer 11|Windows|Computer|Very common
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; WOW64; Trident/5.0)|Internet Explorer 9|Windows|Computer|Very common
Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3)|Internet Explorer 11|Windows|Computer|Common
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0)|Internet Explorer 9|Windows|Computer|Common
Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; MDDSJS; rv:11.0) like Gecko|Internet Explorer 11|Windows|Computer|Common
Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; wbx 1.0.0)|Internet Explorer 11|Windows|Computer|Common
Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)|Internet Explorer 9|Windows|Computer|Common
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0; Xbox)|Internet Explorer 9|Windows|Large Screen - Game Console|Common
Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; AS; rv:11.0) like Gecko|Internet Explorer 11|Windows|Computer|Common
Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729)|Internet Explorer 8|Windows|Computer|Common
Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729)|Internet Explorer 8|Windows|Computer|Common
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/7.0)|Internet Explorer 11|Windows|Computer|Common
Mozilla/5.0 (Windows NT 6.3; ARM; Trident/7.0; Touch; rv:11.0) like Gecko|Internet Explorer 11|Windows|Computer|Common
Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729)|Internet Explorer 11|Windows|Computer|Common
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)|Internet Explorer 6.0|Windows|Computer|Common
Mozilla/5.0 (Windows NT 10.0; Trident/7.0; rv:11.0) like Gecko|Internet Explorer 11|Windows|Computer|Common
Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)|Internet Explorer 10|Windows|Computer|Common
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; WOW64; Trident/7.0)|Internet Explorer 11|Windows|Computer|Common
Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)|Internet Explorer 8|Windows|Computer|Common
Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)|Internet Explorer 8|Windows|Computer|Common
Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2)|Internet Explorer 10.0|Windows|Computer|Common
Mozilla/5.0 (Windows NT 6.3; Win64; x64; Trident/7.0; rv:11.0) like Gecko|Internet Explorer 11|Windows|Computer|Common
Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)|Internet Explorer 8|Windows|Computer|Common
Mozilla/5.0 (Windows NT 6.0; WOW64; Trident/7.0; rv:11.0) like Gecko|Internet Explorer 11|Windows|Computer|Common
Mozilla/5.0 (Windows NT 5.1; WOW64; Trident/7.0; rv:11.0) like Gecko|Internet Explorer 11|Windows|Computer|Common
Mozilla/5.0 (Windows NT 10.0; Win64; x64; Trident/7.0; rv:11.0) like Gecko|Internet Explorer 11|Windows|Computer|Common
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)|Internet Explorer 6.0|Windows|Computer|Common
Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.3; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729)|Internet Explorer 11|Windows|Computer|Common
Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0)|Internet Explorer 10|Windows|Computer|Common
Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)|Internet Explorer 11|Windows|Computer|Common
Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3)|Internet Explorer 11|Windows|Computer|Common
